tweet_text,cyberbullying_type
"@substitute it's.... well, it's not horrible. just boring.",cyberbullying
@Wi1dchild kay loser. today was so boring but at 8 it'll get better. hopefully. i'll text u why when i can be bothered to,cyberbullying
"@CappyD Man, I thought Chevaldayoff was a human paper weight...what a trade for the Jets. As good a deal as I've seen in years (decades?)...",cyberbullying
".@tarah @girlziplocked @hypatiadotca @justkelly_ok @ameliagreenhall when ur writing a book about WiT, it is prob not a good idea to do this.",cyberbullying
@girlziplocked @tarah @hypatiadotca @justkelly_ok @ameliagreenhall wowwwww this whole thread,cyberbullying
How can someone fuck up cous cous for fuck sake. I can make that shit with my eyes closed #mkr,cyberbullying
DO WE EVER GET FUCKING PENALTIES?!? FUCKKKKK ME. #CHEPAL,cyberbullying
My lovely boy #animal #all_shots #beautifulpictures #cat #chat #coon #chaton #catlover #catloversâ€¦ https://t.co/YGDqC1wiqL,cyberbullying
My hair is blue,cyberbullying
Presented without comment. http://t.co/9MWQFS8Css,cyberbullying
@kunikos yeah,cyberbullying
"like ""i'm feeling bored today, let's hop into this video game and threaten women with some rape""",cyberbullying
*cracks knuckles*,cyberbullying
@shannnesee Got! You always bully me. :&lt;,cyberbullying
"RT @thesledgetobias: @MT8_9 @amberhasalamb My god, so it truly is a projection.",cyberbullying
@krainboltgreene i believe in call-out culture against people that are known to be *deliberate* in their harm.,cyberbullying
"@0xabad1dea you are one of my favorite people, bby. Follower4ever",cyberbullying
RT @Spacekatgal: This is not just about serving you ads. @SwiftOnSecurity explains why this makes Lenovo users ridiculously vulnerable httpâ€¦,cyberbullying
@MadTrophyWife content warning. :),cyberbullying
@kettlekat I think most of the active members in this clan are people that saw the chats I've been posting on Twitter.,cyberbullying
@bryneaux ðŸ˜Š,cyberbullying
RT @a_man_in_black: Rumor: @freebsdgirl to helm Apple Car project,cyberbullying
"@_DaddyBooda ; Yo big I'm 3ft tall head ass , can't reach the pepper head ass , I use to get bullied in school head ass .",cyberbullying
"I'm disappointed by today, and I need to focus. I've got other things to work on. Taking a break from my public Twitter for a few days.",cyberbullying
Haaaaaaappy Birthdaaaaaaay bully @MackinxStackin :) !,cyberbullying
